GENESIS-Tabelle: 44151-0001;;;;;;;
Besch‰ftigte, Umsatz im Bauhauptgewerbe (Messzahlen und;;;;;;;
Ver‰nderungsraten): Deutschland, Monate, Wirtschaftszweige;;;;;;;
Konjunkturstatistik im Bauhauptgewerbe;;;;;;;
Deutschland;;;;;;;
;;;;Besch‰ftigte;Ver‰nderung zum Vorjahresmon.;Umsatz;Ver‰nderung zum Vorjahres
Key Wirtschaftszweig;Wirtschaftszweig;Jahr;Monat;2010=100;in (%);2010=100;in (%)
WZ08-F-01;Bauhauptgewerbe;2010;Januar;93,3;.;42;.
WZ08-F-01;Bauhauptgewerbe;2010;Februar;92,5;.;47,3;.
WZ08-F-01;Bauhauptgewerbe;2010;M‰rz;95,8;.;77,3;.
WZ08-F-01;Bauhauptgewerbe;2010;April;99,3;.;93,7;.
WZ08-F-01;Bauhauptgewerbe;2010;Mai;100,7;.;100,8;.
WZ08-F-01;Bauhauptgewerbe;2010;Juni;101,7;.;115;.
WZ08-F-01;Bauhauptgewerbe;2010;Juli;102,2;.;117,7;.
WZ08-F-01;Bauhauptgewerbe;2010;August;103,5;.;114;.
WZ08-F-01;Bauhauptgewerbe;2010;September;104,4;.;121,5;.
WZ08-F-01;Bauhauptgewerbe;2010;Oktober;104,1;.;124,5;.
WZ08-F-01;Bauhauptgewerbe;2010;November;103,5;.;129,5;.
WZ08-F-01;Bauhauptgewerbe;2010;Dezember;98,9;.;116,8;.
WZ08-F-01;Bauhauptgewerbe;2011;Januar;95,6;2,5;52,6;25,2
WZ08-F-01;Bauhauptgewerbe;2011;Februar;96,2;4;67,8;43,3
WZ08-F-01;Bauhauptgewerbe;2011;M‰rz;99,3;3,7;95,3;23,3
WZ08-F-01;Bauhauptgewerbe;2011;April;101,2;1,9;100,6;7,4
WZ08-F-01;Bauhauptgewerbe;2011;Mai;102,4;1,7;122,5;21,5
WZ08-F-01;Bauhauptgewerbe;2011;Juni;103;1,3;114,9;-0,1
WZ08-F-01;Bauhauptgewerbe;2011;Juli;103,2;1;122;3,7
WZ08-F-01;Bauhauptgewerbe;2011;August;104,6;1,1;124,3;9
WZ08-F-01;Bauhauptgewerbe;2011;September;105;0,6;128,5;5,8
WZ08-F-01;Bauhauptgewerbe;2011;Oktober;104,7;0,6;127,9;2,7
WZ08-F-01;Bauhauptgewerbe;2011;November;104,1;0,6;140,9;8,8
WZ08-F-01;Bauhauptgewerbe;2011;Dezember;100,3;1,4;143,2;22,6
WZ08-F-01;Bauhauptgewerbe;2012;Januar;96,9;1,4;62;17,9
WZ08-F-01;Bauhauptgewerbe;2012;Februar;96,4;0,2;62,3;-8,1
WZ08-F-01;Bauhauptgewerbe;2012;M‰rz;99,7;0,4;94;-1,4
WZ08-F-01;Bauhauptgewerbe;2012;April;101,4;0,2;101,1;0,5
WZ08-F-01;Bauhauptgewerbe;2012;Mai;102,2;-0,2;114,5;-6,5
WZ08-F-01;Bauhauptgewerbe;2012;Juni;102,8;-0,2;121,3;5,6
WZ08-F-01;Bauhauptgewerbe;2012;Juli;103,3;0,1;129,2;5,9
WZ08-F-01;Bauhauptgewerbe;2012;August;104,3;-0,3;127;2,2
WZ08-F-01;Bauhauptgewerbe;2012;September;104,7;-0,3;125;-2,7
WZ08-F-01;Bauhauptgewerbe;2012;Oktober;104,5;-0,2;134,8;5,4
WZ08-F-01;Bauhauptgewerbe;2012;November;103,8;-0,3;136,9;-2,8
WZ08-F-01;Bauhauptgewerbe;2012;Dezember;99,7;-0,6;128,5;-10,3
WZ08-F-01;Bauhauptgewerbe;2013;Januar;96,8;-0,1;56,5;-8,9
WZ08-F-01;Bauhauptgewerbe;2013;Februar;96,6;0,2;62,7;0,6
WZ08-F-01;Bauhauptgewerbe;2013;M‰rz;98,1;-1,6;78,5;-16,5
WZ08-F-01;Bauhauptgewerbe;2013;April;101,3;-0,1;102,5;1,4
WZ08-F-01;Bauhauptgewerbe;2013;Mai;102,6;0,4;110,6;-3,4
WZ08-F-01;Bauhauptgewerbe;2013;Juni;103,3;0,5;121,6;0,2
WZ08-F-01;Bauhauptgewerbe;2013;Juli;104,1;0,8;138,9;7,5
WZ08-F-01;Bauhauptgewerbe;2013;August;105;0,7;127,4;0,3
WZ08-F-01;Bauhauptgewerbe;2013;September;105,7;1;131,9;5,5
WZ08-F-01;Bauhauptgewerbe;2013;Oktober;105,4;0,9;140,2;4
WZ08-F-01;Bauhauptgewerbe;2013;November;104,6;0,8;141,4;3,3
WZ08-F-01;Bauhauptgewerbe;2013;Dezember;100,3;0,6;144,1;12,1
WZ08-F-01;Bauhauptgewerbe;2014;Januar;97,6;0,8;67,7;19,8
WZ08-F-01;Bauhauptgewerbe;2014;Februar;97,9;1,3;79,4;26,6
WZ08-F-01;Bauhauptgewerbe;2014;M‰rz;100,5;2,4;101,4;29,2
WZ08-F-01;Bauhauptgewerbe;2014;April;102,2;0,9;113,2;10,4
WZ08-F-01;Bauhauptgewerbe;2014;Mai;102,9;0,3;118,7;7,3
WZ08-F-01;Bauhauptgewerbe;2014;Juni;103,6;0,3;121,8;0,2
WZ08-F-01;Bauhauptgewerbe;2014;Juli;104;-0,1;138,7;-0,1
WZ08-F-01;Bauhauptgewerbe;2014;August;104,8;-0,2;124,4;-2,4
WZ08-F-01;Bauhauptgewerbe;2014;September;105,6;-0,1;136,4;3,4
WZ08-F-01;Bauhauptgewerbe;2014;Oktober;105,3;-0,1;142;1,3
WZ08-F-01;Bauhauptgewerbe;2014;November;104,4;-0,2;140,5;-0,6
WZ08-F-01;Bauhauptgewerbe;2014;Dezember;100,5;0,2;144,8;0,5
WZ08-F-01;Bauhauptgewerbe;2015;Januar;97,8;0,2;65,4;-3,4
WZ08-F-01;Bauhauptgewerbe;2015;Februar;97,8;-0,1;74,5;-6,2
WZ08-F-01;Bauhauptgewerbe;2015;M‰rz;100,2;-0,3;103,9;2,5
WZ08-F-01;Bauhauptgewerbe;2015;April;102,2;-;111,5;-1,5
WZ08-F-01;Bauhauptgewerbe;2015;Mai;102,8;-0,1;114;-4
WZ08-F-01;Bauhauptgewerbe;2015;Juni;103,6;-;132,5;8,8
WZ08-F-01;Bauhauptgewerbe;2015;Juli;104;-;143,6;3,5
WZ08-F-01;Bauhauptgewerbe;2015;August;104,8;-;127,6;2,6
WZ08-F-01;Bauhauptgewerbe;2015;September;105,5;-0,1;139,2;2,1
WZ08-F-01;Bauhauptgewerbe;2015;Oktober;105,1;-0,2;145,5;2,5
WZ08-F-01;Bauhauptgewerbe;2015;November;104,4;-;148,7;5,8
WZ08-F-01;Bauhauptgewerbe;2015;Dezember;101,1;0,6;156;7,7
WZ08-F-01;Bauhauptgewerbe;2016;Januar;98,5;0,7;63,1;-3,5
WZ08-F-01;Bauhauptgewerbe;2016;Februar;99,3;1,5;84,6;13,6
WZ08-F-01;Bauhauptgewerbe;2016;M‰rz;101,3;1,1;107,1;3,1
WZ08-F-01;Bauhauptgewerbe;2016;April;103,2;1;122,4;9,8
WZ08-F-01;Bauhauptgewerbe;2016;Mai;104;1,2;126,5;11
WZ08-F-01;Bauhauptgewerbe;2016;Juni;104,8;1,2;142,8;7,8
WZ08-F-01;Bauhauptgewerbe;2016;Juli;105,2;1,2;140,7;-2
WZ08-F-01;Bauhauptgewerbe;2016;August;106,5;1,6;142;11,3
WZ08-F-01;Bauhauptgewerbe;2016;September;107,3;1,7;149,5;7,4
WZ08-F-01;Bauhauptgewerbe;2016;Oktober;107,1;1,9;144,9;-0,4
WZ08-F-01;Bauhauptgewerbe;2016;November;106,6;2,1;155,4;4,5
WZ08-F-01;Bauhauptgewerbe;2016;Dezember;103,3;2,2;170,1;9
WZ08-F-01;Bauhauptgewerbe;2017;Januar;101,1;2,6;66,8;5,9
WZ08-F-01;Bauhauptgewerbe;2017;Februar;101,8;2,5;84,2;-0,5
WZ08-F-01;Bauhauptgewerbe;2017;M‰rz;104,7;3,4;122,5;14,4
WZ08-F-01;Bauhauptgewerbe;2017;April;106,2;2,9;122,4;-
WZ08-F-01;Bauhauptgewerbe;2017;Mai;107,1;3;142,8;12,9
WZ08-F-01;Bauhauptgewerbe;2017;Juni;107,7;2,8;147,6;3,4
WZ08-F-01;Bauhauptgewerbe;2017;Juli;108,1;2,8;151,9;8
WZ08-F-01;Bauhauptgewerbe;2017;August;109,1;2,4;151,5;6,7
WZ08-F-01;Bauhauptgewerbe;2017;September;109,7;2,2;150,9;0,9
WZ08-F-01;Bauhauptgewerbe;2017;Oktober;109,5;2,2;150,9;4,1
WZ08-F-01;Bauhauptgewerbe;2017;November;109,2;2,4;168,4;8,4
WZ08-F-01;Bauhauptgewerbe;2017;Dezember;105,9;2,5;168,6;-0,9
WZ08-F-01;Bauhauptgewerbe;2018;Januar;104,5;3,4;80,9;21,1
WZ08-F-01;Bauhauptgewerbe;2018;Februar;104,8;2,9;93,2;10,7
WZ08-F-01;Bauhauptgewerbe;2018;M‰rz;106,6;1,8;113,6;-7,3
WZ08-F-01;Bauhauptgewerbe;2018;April;108,6;2,3;133,9;9,4
WZ08-F-01;Bauhauptgewerbe;2018;Mai;109,4;2,1;145,6;2
WZ08-F-01;Bauhauptgewerbe;2018;Juni;110,2;2,3;160;8,4
WZ08-F-01;Bauhauptgewerbe;2018;Juli;110,7;2,4;167,4;10,2
WZ08-F-01;Bauhauptgewerbe;2018;August;111,6;2,3;162,9;7,5
WZ08-F-01;Bauhauptgewerbe;2018;September;...;...;...;...
WZ08-F-01;Bauhauptgewerbe;2018;Oktober;...;...;...;...
WZ08-F-01;Bauhauptgewerbe;2018;November;...;...;...;...
WZ08-F-01;Bauhauptgewerbe;2018;Dezember;...;...;...;...
WZ08-412;Bau von Geb‰uden;2010;Januar;93,7;.;43,5;.
WZ08-412;Bau von Geb‰uden;2010;Februar;93;.;51,6;.
WZ08-412;Bau von Geb‰uden;2010;M‰rz;96,3;.;80,7;.
WZ08-412;Bau von Geb‰uden;2010;April;99,4;.;94;.
WZ08-412;Bau von Geb‰uden;2010;Mai;100,9;.;102,8;.
WZ08-412;Bau von Geb‰uden;2010;Juni;101,8;.;113,6;.
WZ08-412;Bau von Geb‰uden;2010;Juli;102,2;.;116;.
WZ08-412;Bau von Geb‰uden;2010;August;103,6;.;113,4;.
