GENESIS-Tabelle: 31231-0003;;;;;;;;;;;;;;;;
Wohngebäude, Wohnungen, Wohnfläche: Bundesländer, Stichtag,;;;;;;;;;;;;;;;;
Anzahl der Wohnungen;;;;;;;;;;;;;;;;
Fortschreibung Wohngebäude- und Wohnungsbestand;;;;;;;;;;;;;;;;
;;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden
;;1 Wohnung;1 Wohnung;1 Wohnung;2 Wohnungen;2 Wohnungen;2 Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;Wohnheime;Wohnheime;Wohnheime;Insgesamt;Insgesamt;Insgesamt
;;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche
Stichtag;Bundesland;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm
31.12.1995;Baden-Württemberg;1168398;1168398;140515;513270;1026540;91981;360151;2102451;151180;-;-;-;2041819;4297389;383676
31.12.1995;Bayern;1651436;1651436;205461;526589;1053178;94937;333967;2379975;158505;-;-;-;2511992;5084589;458903
31.12.1995;Berlin;121227;121227;12996;19191;38382;3344;136165;1597165;104131;-;-;-;276583;1756774;120471
31.12.1995;Brandenburg;325563;325563;31961;67710;135420;10234;84057;623672;36342;-;-;-;477330;1084655;78535
31.12.1995;Bremen;72519;72519;7636;20029;40058;3189;32754;220037;14218;-;-;-;125302;332614;25043
31.12.1995;Hamburg;119851;119851;12737;24959;49918;4087;73570;644903;40594;-;-;-;218380;814672;57418
31.12.1995;Hessen;705754;705754;87885;297496;594992;54001;191804;1227446;84638;-;-;-;1195054;2528192;226524
